date,ticker,Open,High,Low,Close,Volume,Middle_Band,Std_Dev,Upper_Band,Lower_Band,Avg_Volume,long_signal,short_signal,long_entry,short_entry,entry_price,exit_price,position,PnL
2020/7/27,ABT,98.55000305,100.2799988,98.41000366,99.98999786,3717900,95.32700043,3.571213866,102.4694282,88.18457269,4891650,FALSE,FALSE,FALSE,FALSE,,98.55000305,0,1.449996948
2020/9/4,ABT,105.4499969,106.0400009,102.4199982,104.1600037,5027700,103.5650005,3.907396577,111.3797937,95.75020738,6422535,FALSE,FALSE,FALSE,FALSE,,105.4499969,0,8.090003967
2021/2/5,ABT,120.4300003,124.3199997,120.0400009,124.0299988,5803400,115.5259995,4.84447946,125.2149584,105.8370405,5904730,FALSE,FALSE,FALSE,FALSE,,120.4300003,0,-0.180000305
2021/5/12,ABT,117.1699982,117.5999985,116.25,116.3499985,4745500,120.8024998,2.436841683,125.6761831,115.9288164,5433685,FALSE,FALSE,FALSE,FALSE,,117.1699982,0,-0.630004883
2021/6/9,ABT,107.8099976,109.5299988,107.5999985,109.0500031,13780400,114.0025002,4.416870158,122.8362405,105.1687598,7716110,FALSE,FALSE,FALSE,FALSE,,107.8099976,0,2.019996643
2022/1/25,ABT,123.0800018,124.6200027,121.5899963,123.2699966,9126600,132.8404999,6.251395499,145.3432909,120.3377089,6416815,FALSE,FALSE,FALSE,FALSE,,123.0800018,0,-4.319999695
2022/3/1,ABT,120.3099976,121.1600037,117.3799973,118.1699982,6697700,123.9995007,4.822833055,133.6451668,114.3538345,5897225,FALSE,FALSE,FALSE,FALSE,,120.3099976,0,3.769996643
2022/10/28,ABT,97.31999969,100.0199966,97.19999695,99.48999786,5768100,100.2259995,2.791148904,105.8082973,94.64370164,7407760,FALSE,FALSE,FALSE,FALSE,,97.31999969,0,2.970001221
2023/3/2,ABT,100.2699966,102.9800034,100.2699966,102.6299973,5209900,106.1695,4.113298384,114.3960967,97.9429032,4664325,FALSE,FALSE,FALSE,FALSE,,100.2699966,0,-2.970001221
2023/4/27,ABT,108.7099991,109.5400009,107.6699982,109.5,4257200,105.6290001,3.886875656,113.4027514,97.85524878,5916585,FALSE,FALSE,FALSE,FALSE,,108.7099991,0,3.540000916
2023/6/5,ABT,104.0599976,105.0100021,103.3399963,103.7600021,3565900,106.768,3.434752213,113.6375045,99.8984956,4198215,FALSE,FALSE,FALSE,FALSE,,104.0599976,0,1.909996033
2023/7/28,ABT,113.1800003,113.5199966,112.3199997,112.7300034,3409200,109.4279999,3.019019335,115.4660385,103.3899612,4891315,FALSE,FALSE,FALSE,FALSE,,113.1800003,0,-0.330001831
2023/10/19,ABT,96.54000092,96.54000092,93.76000214,95.44000244,8537800,95.2970005,2.382135173,100.0612709,90.53273016,6159470,FALSE,FALSE,FALSE,FALSE,,96.54000092,0,4.290000916
2024/2/28,ABT,119.4899979,120.1100006,119.2699966,120.0500031,3383800,114.8829998,3.078341228,121.0396823,108.7263173,5430135,FALSE,FALSE,FALSE,FALSE,,119.4899979,0,-3.529998779
